condition,wind_speed_m_s,design_rotor_speed_rpm,test_rotor_speed_rpm,tip_speed_ratio,target_ct,target_cp,measured_ct,measured_cp,mean_thrust_n,mean_torque_n_m
R1,1.2,278.88,278,15.33,3.05,0.20,,,2.29,0.0092
R2,1.6,287.32,287,11.85,2.16,0.37,,,,,
R3,2.0,300.24,300,9.90,1.72,0.44,,,,,
R4,2.4,317.68,318,8.73,1.47,0.46,,,,,
R5,2.8,338.76,338,7.98,1.30,0.47,,,,,
R6,3.2,366.24,366,7.55,1.20,0.47,,,,,
R7,3.6,411.84,411,7.55,1.15,0.47,,,,,
R8,4.0,457.24,457,7.54,1.11,0.47,,,,,
R9,4.4,475.60,480,7.13,1.05,0.47,0.810,0.459,12.21,0.61
