z_m,u_m_s,v_m_s,w_upper_m_s,scalar,u_rms_m_s,v_rms_m_s,w_upper_rms_m_s,scalar_rms
2.0,5.527368262954151,0,0,0,0.1,0.1,0.004906767432741802,0
6.0,6.186674483183732,0,0,0,0.1,0.1,0.009801714032956061,0
10.0,6.49323441763511,0,0,0,0.1,0.1,0.014673047445536175,0
14.0,6.695160284319041,0,0,0,0.1,0.1,0.019509032201612826,0
18.0,6.845980703413313,0,0,0,0.1,0.1,0.02429801799032639,0
22.0,6.966408482258194,0,0,0,0.1,0.1,0.029028467725446233,0
26.0,7.066662046021541,0,0,0,0.1,0.1,0.03368898533922201,0
30.0,7.15254063786469,0,0,0,0.1,0.1,0.03826834323650898,0
34.0,7.22765434225726,0,0,0,0.1,0.1,0.042755509343028214,0
38.0,7.2944037804654025,0,0,0,0.1,0.1,0.04713967368259977,0
42.0,7.354466504548622,0,0,0,0.1,0.1,0.051410274419322166,0
46.0,7.40906106885037,0,0,0,0.1,0.1,0.05555702330196022,0
50.0,7.459100572316068,0,0,0,0.1,0.1,0.05956993044924334,0
54.0,7.505286923642894,0,0,0,0.1,0.1,0.06343932841636456,0
58.0,7.548171333302746,0,0,0,0.1,0.1,0.06715589548470184,0
62.0,7.588194586725426,0,0,0,0.1,0.1,0.07071067811865475,0
66.0,7.625714702487777,0,0,0,0.1,0.1,0.07409511253549592,0
70.0,7.661026439,0,0,0,0.1,0.1,0.0773010453362737,0
74.0,7.694375372833623,0,0,0,0.1,0.1,0.08032075314806449,0
78.0,7.725968266251123,0,0,0,0.1,0.1,0.08314696123025453,0
82.0,7.755980839113516,0,0,0,0.1,0.1,0.08577286100002722,0
86.0,7.784563687930986,0,0,0,0.1,0.1,0.0881921264348355,0
90.0,7.811846858094273,0,0,0,0.1,0.1,0.09039892931234433,0
94.0,7.837943421081026,0,0,0,0.1,0.1,0.09238795325112868,0
98.0,7.8629523056839306,0,0,0,0.1,0.1,0.09415440651830209,0
102.0,7.886960562486841,0,0,0,0.1,0.1,0.0956940335732209,0
106.0,7.910045192506418,0,0,0,0.1,0.1,0.0970031253194544,0
110.0,7.932274636939154,0,0,0,0.1,0.1,0.09807852804032305,0
114.0,7.953710000694983,0,0,0,0.1,0.1,0.0989176509964781,0
118.0,7.974406064838976,0,0,0,0.1,0.1,0.09951847266721969,0
122.0,7.994412130190072,0,0,0,0.1,0.1,0.09987954562051725,0
126.0,8.013772724778203,0,0,0,0.1,0.1,0.1,0
130.0,8.032528200702501,0,0,0,0.1,0.1,0.09987954562051725,0
134.0,8.050715240511352,0,0,0,0.1,0.1,0.09951847266721969,0
138.0,8.068367289079951,0,0,0,0.1,0.1,0.0989176509964781,0
142.0,8.085514923763832,0,0,0,0.1,0.1,0.09807852804032305,0
146.0,8.102186173120842,0,0,0,0.1,0.1,0.0970031253194544,0
150.0,8.11840679254565,0,0,0,0.1,0.1,0.0956940335732209,0
154.0,8.134200503623084,0,0,0,0.1,0.1,0.09415440651830209,0
158.0,8.149589202784346,0,0,0,0.1,0.1,0.09238795325112868,0
162.0,8.164593143872477,0,0,0,0.1,0.1,0.09039892931234435,0
166.0,8.179231098436675,0,0,0,0.1,0.1,0.08819212643483551,0
170.0,8.193520496938218,0,0,0,0.1,0.1,0.08577286100002722,0
174.0,8.207477553532328,0,0,0,0.1,0.1,0.08314696123025456,0
178.0,8.221117376666419,0,0,0,0.1,0.1,0.0803207531480645,0
182.0,8.234454067386432,0,0,0,0.1,0.1,0.07730104533627372,0
186.0,8.247500806955008,0,0,0,0.1,0.1,0.0740951125354959,0
190.0,8.26026993514636,0,0,0,0.1,0.1,0.07071067811865477,0
194.0,8.272773020383557,0,0,0,0.1,0.1,0.06715589548470186,0
198.0,8.285020922717358,0,0,0,0.1,0.1,0.06343932841636456,0
202.0,8.29702385050586,0,0,0,0.1,0.1,0.05956993044924335,0
206.0,8.308791411536172,0,0,0,0.1,0.1,0.05555702330196022,0
210.0,8.320332659229582,0,0,0,0.1,0.1,0.05141027441932218,0
214.0,8.331656134486957,0,0,0,0.1,0.1,0.04713967368259979,0
218.0,8.342769903658857,0,0,0,0.1,0.1,0.04275550934302821,0
222.0,8.353681593063204,0,0,0,0.1,0.1,0.03826834323650899,0
226.0,8.36439842042054,0,0,0,0.1,0.1,0.03368898533922204,0
230.0,8.374927223531328,0,0,0,0.1,0.1,0.02902846772544624,0
234.0,8.385274486480704,0,0,0,0.1,0.1,0.02429801799032641,0
238.0,8.39544636362215,0,0,0,0.1,0.1,0.01950903220161286,0
242.0,8.40544870156224,0,0,0,0.1,0.1,0.01467304744553618,0
246.0,8.415287059343097,0,0,0,0.1,0.1,0.009801714032956084,0
250.0,8.424966726997027,0,0,0,0.1,0.1,0.004906767432741797,0
254.0,8.434492742628352,0,0,0,0.1,0.1,0.0,0
