step,time_hours,maximum_cfl,maximum_divergence_s
2,5.555555431379212e-06,0.00038963850238360465,1.760781742632389e-09
3,8.333333147068818e-06,0.0003878174757119268,1.862645149230957e-09
5,1.38888880610466e-05,0.0003948846715502441,1.862645149230957e-09
6,1.6666666294137637e-05,0.0003932596882805228,2.0372681319713593e-09
