z_m,u_m_s,v_m_s,w_upper_m_s,scalar,u_rms_m_s,v_rms_m_s,w_upper_rms_m_s,scalar_rms
318,8.569351412736,0,0,0,0.1,0.1,0.08314696123025453,0
322,8.576853090215259,0,0,0,0.1,0.1,0.08382247055548381,0
326,8.584262152024902,0,0,0,0.1,0.1,0.0844853565249707,0
330,8.591580857168735,0,0,0,0.1,0.1,0.08513551931052653,0
334,8.5988113829958,0,0,0,0.1,0.1,0.08577286100002722,0
338,8.605955829088932,0,0,0,0.1,0.1,0.08639728561215868,0
342,8.613016220924564,0,0,0,0.1,0.1,0.08700869911087114,0
346,8.61999451331973,0,0,0,0.1,0.1,0.08760700941954067,0
350,8.626892593680958,0,0,0,0.1,0.1,0.0881921264348355,0
354,8.633712285068556,0,0,0,0.1,0.1,0.0887639620402854,0
358,8.640455349088732,0,0,0,0.1,0.1,0.08932243011955154,0
362,8.647123488625022,0,0,0,0.1,0.1,0.08986744656939538,0
366,8.653718350419652,0,0,0,0.1,0.1,0.09039892931234433,0
370,8.660241527514582,0,0,0,0.1,0.1,0.09091679830905224,0
374,8.666694561561304,0,0,0,0.1,0.1,0.09142097557035307,0
378,8.673078945007784,0,0,0,0.1,0.1,0.09191138516900578,0
382,8.679396123170283,0,0,0,0.1,0.1,0.09238795325112868,0
386,8.685647496197266,0,0,0,0.1,0.1,0.09285060804732155,0
390,8.691834420932082,0,0,0,0.1,0.1,0.09329927988347389,0
394,8.697958212680593,0,0,0,0.1,0.1,0.0937339011912575,0
398,8.704020146889532,0,0,0,0.1,0.1,0.09415440651830209,0
402,8.710021460740935,0,0,0,0.1,0.1,0.09456073253805214,0
406,8.715963354667636,0,0,0,0.1,0.1,0.09495281805930367,0
410,8.721846993794474,0,0,0,0.1,0.1,0.09533060403541938,0
414,8.727673509309533,0,0,0,0.1,0.1,0.0956940335732209,0
418,8.733443999769445,0,0,0,0.1,0.1,0.09604305194155659,0
422,8.739159532342555,0,0,0,0.1,0.1,0.09637760657954399,0
426,8.744821143993413,0,0,0,0.1,0.1,0.09669764710448521,0
430,8.750429842611943,0,0,0,0.1,0.1,0.0970031253194544,0
434,8.755986608090316,0,0,0,0.1,0.1,0.09729399522055601,0
438,8.761492393350423,0,0,0,0.1,0.1,0.09757021300385287,0
442,8.766948125324651,0,0,0,0.1,0.1,0.09783173707196277,0
446,8.772354705892473,0,0,0,0.1,0.1,0.09807852804032305,0
