[compile] four-rank GABLS1 y-slab ready in 13.045s
step=5600 time=1.2710/9h CFL=0.7000 CFLnu=0.0554 divL2=1.679e-04 Q0=-4.151e-03 theta_budget=1.485e-08
step=5700 time=1.2932/9h CFL=0.7000 CFLnu=0.0646 divL2=1.662e-04 Q0=-4.409e-03 theta_budget=2.821e-09
step=5800 time=1.3156/9h CFL=0.7000 CFLnu=0.0596 divL2=1.682e-04 Q0=-4.555e-03 theta_budget=6.394e-08
step=5900 time=1.3382/9h CFL=0.7000 CFLnu=0.0594 divL2=1.690e-04 Q0=-4.812e-03 theta_budget=3.679e-08
step=6000 time=1.3608/9h CFL=0.7000 CFLnu=0.0563 divL2=1.699e-04 Q0=-4.988e-03 theta_budget=2.142e-09
step=6100 time=1.3833/9h CFL=0.7000 CFLnu=0.0580 divL2=1.708e-04 Q0=-5.021e-03 theta_budget=1.024e-07
step=6200 time=1.4057/9h CFL=0.7000 CFLnu=0.0579 divL2=1.691e-04 Q0=-5.030e-03 theta_budget=6.892e-08
step=6300 time=1.4272/9h CFL=0.7000 CFLnu=0.0530 divL2=1.706e-04 Q0=-5.101e-03 theta_budget=9.045e-08
step=6400 time=1.4485/9h CFL=0.7000 CFLnu=0.0496 divL2=1.699e-04 Q0=-5.138e-03 theta_budget=1.446e-08
step=6500 time=1.4697/9h CFL=0.7000 CFLnu=0.0531 divL2=1.687e-04 Q0=-5.109e-03 theta_budget=6.764e-08
step=6600 time=1.4914/9h CFL=0.7000 CFLnu=0.0492 divL2=1.683e-04 Q0=-5.064e-03 theta_budget=1.275e-07
step=6700 time=1.5130/9h CFL=0.7000 CFLnu=0.0538 divL2=1.696e-04 Q0=-4.871e-03 theta_budget=9.520e-08
step=6800 time=1.5350/9h CFL=0.7000 CFLnu=0.0531 divL2=1.679e-04 Q0=-4.763e-03 theta_budget=7.920e-08
step=6900 time=1.5571/9h CFL=0.7000 CFLnu=0.0597 divL2=1.683e-04 Q0=-4.700e-03 theta_budget=4.829e-08
step=7000 time=1.5791/9h CFL=0.7000 CFLnu=0.0497 divL2=1.685e-04 Q0=-4.588e-03 theta_budget=5.583e-08
step=7100 time=1.6002/9h CFL=0.7000 CFLnu=0.0507 divL2=1.673e-04 Q0=-4.490e-03 theta_budget=7.714e-08
step=7200 time=1.6215/9h CFL=0.7000 CFLnu=0.0682 divL2=1.667e-04 Q0=-4.591e-03 theta_budget=3.618e-08
step=7300 time=1.6426/9h CFL=0.7000 CFLnu=0.0724 divL2=1.655e-04 Q0=-4.957e-03 theta_budget=2.422e-08
step=7400 time=1.6640/9h CFL=0.7000 CFLnu=0.0667 divL2=1.678e-04 Q0=-5.104e-03 theta_budget=3.935e-09
step=7500 time=1.6857/9h CFL=0.7000 CFLnu=0.0646 divL2=1.663e-04 Q0=-5.012e-03 theta_budget=4.911e-09
step=7600 time=1.7077/9h CFL=0.7000 CFLnu=0.0498 divL2=1.659e-04 Q0=-4.923e-03 theta_budget=2.952e-08
step=7700 time=1.7297/9h CFL=0.7000 CFLnu=0.0517 divL2=1.647e-04 Q0=-4.930e-03 theta_budget=1.275e-08
step=7800 time=1.7517/9h CFL=0.7000 CFLnu=0.0659 divL2=1.657e-04 Q0=-4.959e-03 theta_budget=4.474e-08
step=7900 time=1.7732/9h CFL=0.7000 CFLnu=0.0462 divL2=1.655e-04 Q0=-4.918e-03 theta_budget=6.454e-08
step=8000 time=1.7953/9h CFL=0.7000 CFLnu=0.0498 divL2=1.656e-04 Q0=-4.737e-03 theta_budget=7.041e-08
step=8100 time=1.8172/9h CFL=0.7000 CFLnu=0.0491 divL2=1.671e-04 Q0=-4.646e-03 theta_budget=6.634e-08
step=8200 time=1.8389/9h CFL=0.7000 CFLnu=0.0491 divL2=1.661e-04 Q0=-4.628e-03 theta_budget=6.570e-08
step=8300 time=1.8609/9h CFL=0.7000 CFLnu=0.0422 divL2=1.664e-04 Q0=-4.598e-03 theta_budget=1.416e-07
step=8400 time=1.8827/9h CFL=0.7000 CFLnu=0.0529 divL2=1.669e-04 Q0=-4.638e-03 theta_budget=2.088e-08
step=8500 time=1.9047/9h CFL=0.7000 CFLnu=0.0485 divL2=1.655e-04 Q0=-4.727e-03 theta_budget=5.513e-08
step=8600 time=1.9264/9h CFL=0.7000 CFLnu=0.0477 divL2=1.665e-04 Q0=-4.891e-03 theta_budget=1.783e-08
step=8700 time=1.9478/9h CFL=0.7000 CFLnu=0.0526 divL2=1.670e-04 Q0=-5.185e-03 theta_budget=3.865e-08
step=8800 time=1.9691/9h CFL=0.7000 CFLnu=0.0549 divL2=1.632e-04 Q0=-5.293e-03 theta_budget=6.015e-08
step=8900 time=1.9903/9h CFL=0.7000 CFLnu=0.0506 divL2=1.638e-04 Q0=-5.378e-03 theta_budget=2.551e-08
step=9000 time=2.0116/9h CFL=0.7000 CFLnu=0.0573 divL2=1.650e-04 Q0=-5.414e-03 theta_budget=9.925e-08
step=9100 time=2.0333/9h CFL=0.7000 CFLnu=0.0473 divL2=1.660e-04 Q0=-5.275e-03 theta_budget=5.695e-08
step=9200 time=2.0548/9h CFL=0.7000 CFLnu=0.0475 divL2=1.655e-04 Q0=-5.128e-03 theta_budget=1.342e-07
step=9300 time=2.0763/9h CFL=0.7000 CFLnu=0.0452 divL2=1.638e-04 Q0=-5.014e-03 theta_budget=4.102e-09
step=9400 time=2.0976/9h CFL=0.7000 CFLnu=0.0489 divL2=1.673e-04 Q0=-4.947e-03 theta_budget=6.759e-08
step=9500 time=2.1193/9h CFL=0.7000 CFLnu=0.0410 divL2=1.655e-04 Q0=-4.883e-03 theta_budget=1.057e-07
step=9600 time=2.1413/9h CFL=0.7000 CFLnu=0.0439 divL2=1.643e-04 Q0=-4.697e-03 theta_budget=1.296e-08
step=9700 time=2.1632/9h CFL=0.7000 CFLnu=0.0392 divL2=1.648e-04 Q0=-4.558e-03 theta_budget=1.045e-07
step=9800 time=2.1849/9h CFL=0.7000 CFLnu=0.0467 divL2=1.648e-04 Q0=-4.518e-03 theta_budget=3.677e-08
step=9900 time=2.2065/9h CFL=0.7000 CFLnu=0.0483 divL2=1.671e-04 Q0=-4.517e-03 theta_budget=1.357e-07
step=10000 time=2.2276/9h CFL=0.7000 CFLnu=0.0439 divL2=1.669e-04 Q0=-4.570e-03 theta_budget=7.853e-08
step=10100 time=2.2486/9h CFL=0.7000 CFLnu=0.0506 divL2=1.674e-04 Q0=-4.762e-03 theta_budget=9.430e-08
step=10200 time=2.2698/9h CFL=0.7000 CFLnu=0.0513 divL2=1.659e-04 Q0=-4.902e-03 theta_budget=7.215e-08
step=10300 time=2.2913/9h CFL=0.7000 CFLnu=0.0443 divL2=1.653e-04 Q0=-5.037e-03 theta_budget=2.252e-08
step=10400 time=2.3128/9h CFL=0.7000 CFLnu=0.0445 divL2=1.671e-04 Q0=-5.000e-03 theta_budget=3.588e-08
step=10500 time=2.3343/9h CFL=0.7000 CFLnu=0.0529 divL2=1.660e-04 Q0=-5.095e-03 theta_budget=7.818e-08
step=10600 time=2.3556/9h CFL=0.7000 CFLnu=0.0486 divL2=1.658e-04 Q0=-5.052e-03 theta_budget=1.780e-07
step=10700 time=2.3769/9h CFL=0.7000 CFLnu=0.0484 divL2=1.654e-04 Q0=-5.239e-03 theta_budget=8.531e-08
step=10800 time=2.3980/9h CFL=0.7000 CFLnu=0.0495 divL2=1.654e-04 Q0=-5.326e-03 theta_budget=1.101e-08
step=10900 time=2.4191/9h CFL=0.7000 CFLnu=0.0506 divL2=1.661e-04 Q0=-5.237e-03 theta_budget=6.415e-09
step=11000 time=2.4405/9h CFL=0.7000 CFLnu=0.0452 divL2=1.660e-04 Q0=-5.193e-03 theta_budget=1.301e-08
step=11100 time=2.4618/9h CFL=0.7000 CFLnu=0.0557 divL2=1.667e-04 Q0=-5.202e-03 theta_budget=8.493e-08
step=11200 time=2.4829/9h CFL=0.7000 CFLnu=0.0569 divL2=1.657e-04 Q0=-5.184e-03 theta_budget=2.754e-08
step=11300 time=2.5039/9h CFL=0.7000 CFLnu=0.0604 divL2=1.666e-04 Q0=-5.186e-03 theta_budget=2.598e-08
step=11400 time=2.5251/9h CFL=0.7000 CFLnu=0.0423 divL2=1.648e-04 Q0=-5.196e-03 theta_budget=7.948e-09
step=11500 time=2.5462/9h CFL=0.7000 CFLnu=0.0530 divL2=1.672e-04 Q0=-5.335e-03 theta_budget=6.809e-09
