------- Blade geometry generated from chord.xlsx and twist.xlsx --------------
108 NumBlNds
BlSpn BlCrvAC BlSwpAC BlCrvAng BlTwist BlChord BlAFID
(m) (m) (m) (deg) (deg) (m) (-)
0 0 0 0 18.82187892 2.532997788 1
0.08598452279 0 0 0 18.6864793 2.574351291 1
0.1375752365 0 0 0 18.60910987 2.599163393 1
0.1601875972 0 0 0 18.58368053 2.61003861 1
0.2235597592 0 0 0 18.51241368 2.636460397 1
0.309544282 0 0 0 18.38668991 2.672309966 1
0.3955288048 0 0 0 18.26096615 2.708159535 1
0.4009617865 0 0 0 18.25179947 2.71042471 1
0.4471195185 0 0 0 18.17392086 2.729669276 1
0.5159071367 0 0 0 18.07721219 2.758348931 1
0.5674978504 0 0 0 17.96113932 2.779858673 1
0.6362854686 0 0 0 17.85475479 2.808538328 1
0.6417359758 0 0 0 17.84801193 2.810810811 1
0.7222699914 0 0 0 17.74838275 2.835682323 1
0.7910576096 0 0 0 17.6226465 2.856926168 1
0.9167786456 0 0 0 17.5166321 2.895752896 1
0.9286328461 0 0 0 17.50663603 2.899214418 1
1.031814273 0 0 0 17.30351788 2.929344231 1
1.186586414 0 0 0 17.11011302 2.974538949 1
1.260557127 0 0 0 17.02692728 2.996138996 1
1.341358555 0 0 0 16.93605988 3.023358369 1
1.535632938 0 0 0 16.71758344 3.088803089 1
1.582115219 0 0 0 16.66531055 3.099721281 1
1.913696471 0 0 0 16.32973492 3.177606178 1
1.92605331 0 0 0 16.31722923 3.180902576 1
2.188689428 0 0 0 15.95854369 3.250965251 1
2.287188306 0 0 0 15.8240225 3.277517783 1
2.532434768 0 0 0 15.56793665 3.343629344 1
2.889079966 0 0 0 15.19552847 3.41284456 1
2.910432017 0 0 0 15.16985938 3.416988417 1
3.387790198 0 0 0 14.59598714 3.48136684 1
3.425751751 0 0 0 14.54941299 3.486486486 1
3.955288048 0 0 0 13.89973714 3.52721591 1
4.078327687 0 0 0 13.77867673 3.536679537 1
4.64316423 0 0 0 13.22292621 3.562081373 1
4.936862494 0 0 0 12.88817378 3.575289575 1
5.279449699 0 0 0 12.49769855 3.573913676 1
5.898219314 0 0 0 11.93684218 3.571428571 1
6.122098022 0 0 0 11.73391721 3.563416939 1
6.653468125 0 0 0 11.12604127 3.544401544 1
7.119518487 0 0 0 10.5928897 3.516006361 1
7.477287039 0 0 0 10.30772552 3.494208494 1
8.060696322 0 0 0 9.842711384 3.428571429 1
8.271711092 0 0 0 9.674519254 3.406315442 1
8.609803982 0 0 0 9.408966066 3.370656371 1
9.261915935 0 0 0 8.896768346 3.312741313 1
9.527085125 0 0 0 8.688492675 3.275052565 1
9.91387875 0 0 0 8.347711596 3.22007722 1
10.60025918 0 0 0 7.742982229 3.146718147 1
10.67927773 0 0 0 7.673363642 3.133874188 1
11.21785409 0 0 0 7.257592418 3.046332046 1
11.90421795 0 0 0 6.727731913 2.969111969 1
11.96904557 0 0 0 6.677686164 2.961331987 1
12.41897428 0 0 0 6.391106028 2.907335907 1
13.00221786 0 0 0 6.019611568 2.803088803 1
13.25881341 0 0 0 5.856174142 2.764070631 1
13.63699672 0 0 0 5.61529193 2.706563707 1
14.25467448 0 0 0 5.221864763 2.625482625 1
14.54858126 0 0 0 5.034662121 2.582490226 1
14.94093892 0 0 0 4.816439004 2.525096525 1
15.74737503 0 0 0 4.367912016 2.424710425 1
16.2338779 0 0 0 4.097326826 2.355965572 1
16.48512504 0 0 0 3.977349327 2.32046332 1
17.18862314 0 0 0 3.641409413 2.235521236 1
17.80628434 0 0 0 3.346459011 2.150579151 1
17.95356836 0 0 0 3.276126795 2.134008809 1
18.56128459 0 0 0 3.014915299 2.065637066 1
19.45359075 0 0 0 2.631379996 1.972972973 1
