Generating Mann box [4096, 64, 128]; advection=3.3108 m/s, period=115.984 s
Measured mean/TI profiles calibrated; constructing open AD-BEM simulation
step=14300 time=17.875s CFL=0.3577
step=14400 time=18s CFL=0.3598
step=14500 time=18.125s CFL=0.3695
step=14600 time=18.25s CFL=0.3712
step=14700 time=18.375s CFL=0.384
step=14800 time=18.5s CFL=0.3844
step=14900 time=18.625s CFL=0.3663
step=15000 time=18.75s CFL=0.375
step=15100 time=18.875s CFL=0.3911
step=15120 time=18.9s CFL=0.3872
step=15220 time=19.025s CFL=0.3942
step=15320 time=19.15s CFL=0.3729
step=15420 time=19.275s CFL=0.3559
step=15520 time=19.4s CFL=0.3616
step=15620 time=19.525s CFL=0.3579
step=15720 time=19.65s CFL=0.3828
step=15820 time=19.775s CFL=0.3778
step=15840 time=19.8s CFL=0.3686
step=15940 time=19.925s CFL=0.3367
step=16000 time=20s CFL=0.35
step=16100 time=20.125s CFL=0.3336
step=16200 time=20.25s CFL=0.3291
step=16300 time=20.375s CFL=0.3338
step=16400 time=20.5s CFL=0.3197
step=16500 time=20.625s CFL=0.3151
step=16560 time=20.7s CFL=0.309
step=16660 time=20.825s CFL=0.3241
step=16760 time=20.95s CFL=0.3363
step=16860 time=21.075s CFL=0.3329
step=16960 time=21.2s CFL=0.3317
step=17060 time=21.325s CFL=0.3425
step=17160 time=21.45s CFL=0.3487
step=17260 time=21.575s CFL=0.3194
step=17280 time=21.6s CFL=0.3303
step=17380 time=21.725s CFL=0.3249
step=17480 time=21.85s CFL=0.3621
step=17580 time=21.975s CFL=0.3437
step=17680 time=22.1s CFL=0.3424
step=17780 time=22.225s CFL=0.3331
step=17880 time=22.35s CFL=0.349
step=17980 time=22.475s CFL=0.3432
step=18000 time=22.5s CFL=0.3423
step=18100 time=22.625s CFL=0.3385
step=18200 time=22.75s CFL=0.3738
step=18300 time=22.875s CFL=0.3589
step=18400 time=23s CFL=0.3466
step=18500 time=23.125s CFL=0.3523
step=18600 time=23.25s CFL=0.3329
step=18700 time=23.375s CFL=0.3484
step=18720 time=23.4s CFL=0.3468
step=18820 time=23.525s CFL=0.3716
step=18920 time=23.65s CFL=0.3499
step=19020 time=23.775s CFL=0.3451
step=19120 time=23.9s CFL=0.3253
step=19220 time=24.025s CFL=0.3373
step=19320 time=24.15s CFL=0.3193
step=19420 time=24.275s CFL=0.3304
step=19440 time=24.3s CFL=0.3354
step=19540 time=24.425s CFL=0.3385
step=19640 time=24.55s CFL=0.3338
step=19740 time=24.675s CFL=0.3168
step=19840 time=24.8s CFL=0.3382
step=19940 time=24.925s CFL=0.3136
step=20000 time=25s CFL=0.3211
step=20100 time=25.125s CFL=0.3123
step=20160 time=25.2s CFL=0.3306
step=20260 time=25.325s CFL=0.3366
step=20360 time=25.45s CFL=0.3244
step=20460 time=25.575s CFL=0.3499
step=20560 time=25.7s CFL=0.3498
step=20660 time=25.825s CFL=0.3439
step=20760 time=25.95s CFL=0.3534
step=20860 time=26.075s CFL=0.3443
step=20880 time=26.1s CFL=0.334
step=20980 time=26.225s CFL=0.3353
step=21080 time=26.35s CFL=0.3293
step=21180 time=26.475s CFL=0.3563
step=21280 time=26.6s CFL=0.3533
step=21380 time=26.725s CFL=0.3587
step=21480 time=26.85s CFL=0.3398
step=21580 time=26.975s CFL=0.3317
step=21600 time=27s CFL=0.3359
step=21700 time=27.125s CFL=0.3358
step=21800 time=27.25s CFL=0.3387
step=21900 time=27.375s CFL=0.3403
step=22000 time=27.5s CFL=0.3291
step=22100 time=27.625s CFL=0.3328
step=22200 time=27.75s CFL=0.3385
step=22300 time=27.875s CFL=0.3216
step=22320 time=27.9s CFL=0.3144
step=22420 time=28.025s CFL=0.3261
step=22520 time=28.15s CFL=0.3276
step=22620 time=28.275s CFL=0.3239
step=22720 time=28.4s CFL=0.3292
step=22820 time=28.525s CFL=0.3213
step=22920 time=28.65s CFL=0.3561
step=23020 time=28.775s CFL=0.3478
step=23040 time=28.8s CFL=0.3479
step=23140 time=28.925s CFL=0.3386
step=23240 time=29.05s CFL=0.3367
step=23340 time=29.175s CFL=0.3288
step=23440 time=29.3s CFL=0.3505
step=23540 time=29.425s CFL=0.3475
step=23640 time=29.55s CFL=0.3413
step=23740 time=29.675s CFL=0.3488
step=23760 time=29.7s CFL=0.3477
step=23860 time=29.825s CFL=0.3482
step=23960 time=29.95s CFL=0.3726
step=24000 time=30s CFL=0.3462
step=24100 time=30.125s CFL=0.3184
step=24200 time=30.25s CFL=0.3261
step=24300 time=30.375s CFL=0.3335
step=24400 time=30.5s CFL=0.3189
step=24480 time=30.6s CFL=0.3212
step=24580 time=30.725s CFL=0.3062
step=24680 time=30.85s CFL=0.3118
step=24780 time=30.975s CFL=0.3047
step=24880 time=31.1s CFL=0.3007
step=24980 time=31.225s CFL=0.2948
step=25080 time=31.35s CFL=0.325
step=25180 time=31.475s CFL=0.3175
step=25200 time=31.5s CFL=0.3217
step=25300 time=31.625s CFL=0.3272
step=25400 time=31.75s CFL=0.3326
step=25500 time=31.875s CFL=0.3287
step=25600 time=32s CFL=0.33
step=25700 time=32.125s CFL=0.3146
step=25800 time=32.25s CFL=0.3263
step=25900 time=32.375s CFL=0.3203
step=25920 time=32.4s CFL=0.3328
step=26000 time=32.5s CFL=0.3234
step=26100 time=32.625s CFL=0.3197
step=26200 time=32.75s CFL=0.3077
step=26300 time=32.875s CFL=0.2985
step=26400 time=33s CFL=0.3051
step=26500 time=33.125s CFL=0.3162
step=26600 time=33.25s CFL=0.3101
step=26640 time=33.3s CFL=0.3086
step=26740 time=33.425s CFL=0.3043
step=26840 time=33.55s CFL=0.3058
step=26940 time=33.675s CFL=0.2963
step=27040 time=33.8s CFL=0.2995
step=27140 time=33.925s CFL=0.3222
step=27240 time=34.05s CFL=0.3339
step=27340 time=34.175s CFL=0.3302
step=27360 time=34.2s CFL=0.3242
step=27460 time=34.325s CFL=0.3287
step=27560 time=34.45s CFL=0.3455
step=27660 time=34.575s CFL=0.3375
step=27760 time=34.7s CFL=0.3371
step=27860 time=34.825s CFL=0.3376
step=27960 time=34.95s CFL=0.3289
step=28000 time=35s CFL=0.328
step=28080 time=35.1s CFL=0.3256
step=28180 time=35.225s CFL=0.333
step=28280 time=35.35s CFL=0.34
step=28380 time=35.475s CFL=0.3413
step=28480 time=35.6s CFL=0.3184
step=28580 time=35.725s CFL=0.3318
step=28680 time=35.85s CFL=0.3216
step=28780 time=35.975s CFL=0.3341
step=28800 time=36s CFL=0.3333
step=28900 time=36.125s CFL=0.3212
step=29000 time=36.25s CFL=0.3319
step=29100 time=36.375s CFL=0.3275
step=29200 time=36.5s CFL=0.3413
step=29300 time=36.625s CFL=0.3311
step=29400 time=36.75s CFL=0.322
step=29500 time=36.875s CFL=0.3122
step=29520 time=36.9s CFL=0.3165
step=29620 time=37.025s CFL=0.3387
step=29720 time=37.15s CFL=0.3316
step=29820 time=37.275s CFL=0.3275
step=29920 time=37.4s CFL=0.3259
step=30000 time=37.5s CFL=0.3436
step=30100 time=37.625s CFL=0.3446
step=30200 time=37.75s CFL=0.3515
step=30240 time=37.8s CFL=0.3622
step=30340 time=37.925s CFL=0.3793
step=30440 time=38.05s CFL=0.3817
step=30540 time=38.175s CFL=0.3771
step=30640 time=38.3s CFL=0.3818
step=30740 time=38.425s CFL=0.4203
step=30840 time=38.55s CFL=0.4159
step=30940 time=38.675s CFL=0.3903
step=30960 time=38.7s CFL=0.3973
step=31060 time=38.825s CFL=0.3815
step=31160 time=38.95s CFL=0.3712
step=31260 time=39.075s CFL=0.3477
step=31360 time=39.2s CFL=0.3552
step=31460 time=39.325s CFL=0.3393
step=31560 time=39.45s CFL=0.3583
step=31660 time=39.575s CFL=0.3689
step=31680 time=39.6s CFL=0.3614
step=31780 time=39.725s CFL=0.3656
step=31880 time=39.85s CFL=0.3451
step=31980 time=39.975s CFL=0.3277
step=32000 time=40s CFL=0.3237
step=32100 time=40.125s CFL=0.3154
step=32200 time=40.25s CFL=0.3231
step=32300 time=40.375s CFL=0.3322
step=32400 time=40.5s CFL=0.313
step=32500 time=40.625s CFL=0.3107
step=32600 time=40.75s CFL=0.3042
step=32700 time=40.875s CFL=0.3208
step=32800 time=41s CFL=0.3012
step=32900 time=41.125s CFL=0.3109
step=33000 time=41.25s CFL=0.328
step=33100 time=41.375s CFL=0.3109
step=33120 time=41.4s CFL=0.3082
step=33220 time=41.525s CFL=0.315
step=33320 time=41.65s CFL=0.3181
step=33420 time=41.775s CFL=0.3121
step=33520 time=41.9s CFL=0.3208
step=33620 time=42.025s CFL=0.3148
step=33720 time=42.15s CFL=0.3054
step=33820 time=42.275s CFL=0.3192
step=33840 time=42.3s CFL=0.3157
step=33940 time=42.425s CFL=0.3066
step=34000 time=42.5s CFL=0.3217
step=34100 time=42.625s CFL=0.3305
step=34200 time=42.75s CFL=0.3385
step=34300 time=42.875s CFL=0.3413
step=34400 time=43s CFL=0.3505
step=34500 time=43.125s CFL=0.3457
step=34560 time=43.2s CFL=0.3452
step=34660 time=43.325s CFL=0.3267
step=34760 time=43.45s CFL=0.3652
step=34860 time=43.575s CFL=0.4012
step=34960 time=43.7s CFL=0.4034
step=35060 time=43.825s CFL=0.3785
step=35160 time=43.95s CFL=0.378
step=35260 time=44.075s CFL=0.3799
step=35280 time=44.1s CFL=0.3783
step=35380 time=44.225s CFL=0.373
step=35480 time=44.35s CFL=0.3795
step=35580 time=44.475s CFL=0.3681
step=35680 time=44.6s CFL=0.3577
step=35780 time=44.725s CFL=0.3806
step=35880 time=44.85s CFL=0.4006
step=35980 time=44.975s CFL=0.3907
step=36000 time=45s CFL=0.3924
step=36100 time=45.125s CFL=0.3836
step=36200 time=45.25s CFL=0.3838
step=36300 time=45.375s CFL=0.3821
step=36400 time=45.5s CFL=0.3622
step=36500 time=45.625s CFL=0.3592
step=36600 time=45.75s CFL=0.343
step=36700 time=45.875s CFL=0.3498
step=36720 time=45.9s CFL=0.3586
step=36820 time=46.025s CFL=0.3643
step=36920 time=46.15s CFL=0.3499
step=37020 time=46.275s CFL=0.3408
step=37120 time=46.4s CFL=0.3426
step=37220 time=46.525s CFL=0.353
step=37320 time=46.65s CFL=0.3515
step=37420 time=46.775s CFL=0.3444
step=37440 time=46.8s CFL=0.3449
step=37540 time=46.925s CFL=0.3461
step=37640 time=47.05s CFL=0.3422
step=37740 time=47.175s CFL=0.3375
step=37840 time=47.3s CFL=0.3392
step=37940 time=47.425s CFL=0.3547
step=38000 time=47.5s CFL=0.3507
step=38100 time=47.625s CFL=0.3345
step=38160 time=47.7s CFL=0.3353
step=38260 time=47.825s CFL=0.3215
step=38360 time=47.95s CFL=0.3224
step=38460 time=48.075s CFL=0.3163
step=38560 time=48.2s CFL=0.3162
step=38660 time=48.325s CFL=0.3084
step=38760 time=48.45s CFL=0.3085
step=38860 time=48.575s CFL=0.3174
step=38880 time=48.6s CFL=0.3178
step=38980 time=48.725s CFL=0.3197
step=39080 time=48.85s CFL=0.3319
step=39180 time=48.975s CFL=0.3175
step=39280 time=49.1s CFL=0.3038
step=39380 time=49.225s CFL=0.324
step=39480 time=49.35s CFL=0.3278
step=39580 time=49.475s CFL=0.3474
step=39600 time=49.5s CFL=0.3461
