step,time_hours,maximum_cfl,maximum_divergence_s
8,2.2222221725516848e-05,0.00038281953311525285,1.356056600343436e-09
10,2.77777761220932e-05,0.00038282081368379295,1.2514647096395493e-09
12,3.3333332588275274e-05,0.0003828220651485026,1.0477378964424133e-09
