step,time_hours,maximum_cfl,maximum_divergence_s
2,5.555555431379212e-06,0.00038963850238360465,2.3283064365386963e-09
4,1.1111110862758424e-05,0.0003931717074010521,2.1245796233415604e-09
6,1.6666666294137637e-05,0.00039325974648818374,1.949956640601158e-09
