 Cuxart-Jimenez, Meso-NH, 32x32x32, 8 hour, 32_B8                                                                                  
 32
  0.6250000E+01  0.1875000E+02  0.3125000E+02  0.4375000E+02  0.5625000E+02  0.6875000E+02  0.8125000E+02  0.9375000E+02  0.1062500E+03  0.1187500E+03
  0.1312500E+03  0.1437500E+03  0.1562500E+03  0.1687500E+03  0.1812500E+03  0.1937500E+03  0.2062500E+03  0.2187500E+03  0.2312500E+03  0.2437500E+03
  0.2562500E+03  0.2687500E+03  0.2812500E+03  0.2937500E+03  0.3062500E+03  0.3187500E+03  0.3312500E+03  0.3437500E+03  0.3562500E+03  0.3687500E+03
  0.3812500E+03  0.3937500E+03
  0.1655890E+00  0.2376111E+00  0.2621271E+00  0.2557970E+00  0.2325001E+00  0.1972966E+00  0.1935876E+00  0.1865350E+00  0.1603323E+00  0.1420695E+00
  0.9468950E-01  0.6172401E-01  0.3865854E-01  0.2298505E-01  0.2355342E-01  0.2783360E-01  0.2887871E-01  0.2064359E-01  0.9397183E-02  0.4481956E-02
  0.1767064E-02  0.1020979E-02  0.6518931E-03  0.4335016E-03  0.3286389E-03  0.2748069E-03  0.2597159E-03  0.3062242E-03  0.3689615E-03  0.4458248E-03
  0.5423484E-03  0.6027780E-03
  0.8980594E-01  0.1387781E+00  0.1395026E+00  0.1213619E+00  0.9937331E-01  0.8451377E-01  0.6622343E-01  0.5330826E-01  0.4981901E-01  0.4683496E-01
  0.4985408E-01  0.5474441E-01  0.5751463E-01  0.4842585E-01  0.3347990E-01  0.1759445E-01  0.1375838E-01  0.7961740E-02  0.5012061E-02  0.4364135E-02
  0.2772918E-02  0.2486652E-02  0.2495675E-02  0.2870937E-02  0.2458309E-02  0.2474906E-02  0.2561211E-02  0.1955916E-02  0.2029926E-02  0.1788490E-02
  0.2340130E-02  0.1832995E-02
  0.4339376E-02  0.2011380E-01  0.2865683E-01  0.2997827E-01  0.2887857E-01  0.2726799E-01  0.2576952E-01  0.2374076E-01  0.2144862E-01  0.1982757E-01
  0.2045222E-01  0.2112890E-01  0.2005157E-01  0.1732305E-01  0.1520521E-01  0.1265632E-01  0.9915272E-02  0.7567385E-02  0.6186795E-02  0.5140842E-02
  0.4523091E-02  0.4163590E-02  0.3663059E-02  0.3408950E-02  0.3404345E-02  0.3198507E-02  0.2977531E-02  0.2644125E-02  0.2579463E-02  0.2522013E-02
  0.2124444E-02  0.8263903E-03
  0.1852238E-01 -0.2909940E-01 -0.3714907E-01 -0.2892686E-01  0.8695338E-03  0.8274797E-02 -0.9189534E-02  0.2281890E-02  0.2599135E-01  0.1310400E-01
  0.4021287E-03 -0.1400652E-01 -0.5535682E-02  0.2009498E-01  0.3752586E-01  0.2033411E-01  0.3298007E-01  0.6711134E-01  0.7476553E-01  0.9219303E-01
  0.4136533E-01  0.6131152E-01  0.2184657E-01  0.2340305E-01  0.7490290E-01 -0.1039693E-01  0.1205970E-02  0.2187481E-01  0.1605000E-01 -0.1582555E-02
  0.1376615E-01 -0.2939286E-01
  0.3103575E+00  0.2026216E+00  0.1343194E+00  0.1013418E+00  0.7944163E-01  0.6244161E-01  0.4714446E-01  0.3255289E-01  0.2109810E-01  0.1254057E-01
  0.6111398E-02  0.2059854E-02  0.4524805E-03  0.5493802E-04  0.5048224E-05  0.1233350E-05  0.1023096E-05  0.1042301E-05  0.1129889E-05  0.1095060E-05
  0.1099136E-05  0.1024019E-05  0.1018589E-05  0.1000694E-05  0.1000005E-05  0.1000015E-05  0.1000004E-05  0.1000000E-05  0.1000003E-05  0.1000003E-05
  0.1000000E-05  0.1000000E-05
  0.1469695E-02  0.2612589E-02  0.3392351E-02  0.3945519E-02  0.4384980E-02  0.4975616E-02  0.5537922E-02  0.6689151E-02  0.8262038E-02  0.1087255E-01
  0.1478102E-01  0.2251624E-01  0.2736193E-01  0.2567867E-01  0.1894416E-01  0.1327581E-01  0.9780056E-02  0.6577301E-02  0.4568113E-02  0.3275984E-02
  0.2779245E-02  0.2433343E-02  0.2248179E-02  0.2325733E-02  0.2329433E-02  0.1990651E-02  0.1958444E-02  0.1869655E-02  0.1722990E-02  0.1649172E-02
  0.1497669E-02  0.1431500E-02
